,Coin,Datestamp,Date,Open,High,Low,Close,Volume,Market Cap
0,Bitcoin,2021-02-28,"Feb 28, 2021",46194.02,46716.43,43241.62,45137.77,53443887451.0,"$841,428,977,515"
1,Bitcoin,2021-02-27,"Feb 27, 2021",46344.77,48253.27,45269.03,46188.45,45910946382.0,"$860,978,135,421"
2,Bitcoin,2021-02-26,"Feb 26, 2021",47180.46,48370.79,44454.84,46339.76,350968000000.0,"$863,752,275,053"
3,Bitcoin,2021-02-25,"Feb 25, 2021",49709.08,51948.97,47093.85,47093.85,54506565949.0,"$877,766,126,138"
4,Bitcoin,2021-02-24,"Feb 24, 2021",48835.09,51290.14,47213.5,49705.33,63695521388.0,"$926,393,090,751"
5,Bitcoin,2021-02-23,"Feb 23, 2021",54204.93,54204.93,45290.59,48824.43,106102000000.0,"$909,925,854,460"
6,Bitcoin,2021-02-22,"Feb 22, 2021",57532.74,57533.39,48967.57,54207.32,92052420332.0,"$1,010,205,212,981"
7,Bitcoin,2021-02-21,"Feb 21, 2021",56068.57,58330.57,55672.61,57539.94,51897585191.0,"$1,072,263,294,725"
8,Bitcoin,2021-02-20,"Feb 20, 2021",55887.34,57505.23,54626.56,56099.52,68145460026.0,"$1,045,371,087,640"
9,Bitcoin,2021-02-19,"Feb 19, 2021",51675.98,56113.65,50937.28,55888.13,63495496918.0,"$1,041,380,696,669"
10,Bitcoin,2021-02-18,"Feb 18, 2021",52140.97,52474.11,51015.76,51679.8,52054723579.0,"$962,915,078,024"
11,Bitcoin,2021-02-17,"Feb 17, 2021",49207.28,52533.91,49072.38,52149.01,80820545404.0,"$971,611,626,454"
12,Bitcoin,2021-02-16,"Feb 16, 2021",47944.46,50341.1,47201.3,49199.87,77049582886.0,"$916,623,418,254"
13,Bitcoin,2021-02-15,"Feb 15, 2021",48696.54,48875.57,46347.48,47945.06,77069903166.0,"$893,210,080,039"
14,Bitcoin,2021-02-14,"Feb 14, 2021",47114.51,49487.64,47114.51,48717.29,71248675228.0,"$907,551,330,153"
15,Bitcoin,2021-02-13,"Feb 13, 2021",47491.2,48047.74,46392.28,47105.52,70250456155.0,"$877,478,894,464"
16,Bitcoin,2021-02-12,"Feb 12, 2021",47877.03,48745.73,46424.98,47504.85,76555041196.0,"$884,874,050,612"
17,Bitcoin,2021-02-11,"Feb 11, 2021",44898.71,48463.47,44187.76,47909.33,81388911810.0,"$892,364,856,136"
