Category: All categories

Month,dash crypto: (Worldwide)
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,1
2014-04,0
2014-05,0
2014-06,0
2014-07,1
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,1
2015-05,2
2015-06,0
2015-07,0
2015-08,2
2015-09,0
2015-10,1
2015-11,1
2015-12,1
2016-01,0
2016-02,2
2016-03,3
2016-04,2
2016-05,1
2016-06,2
2016-07,0
2016-08,2
2016-09,1
2016-10,4
2016-11,0
2016-12,1
2017-01,3
2017-02,8
2017-03,23
2017-04,9
2017-05,6
2017-06,19
2017-07,20
2017-08,29
2017-09,21
2017-10,18
2017-11,58
2017-12,100
2018-01,65
2018-02,31
2018-03,17
2018-04,12
2018-05,11
2018-06,12
2018-07,5
2018-08,11
2018-09,15
2018-10,11
2018-11,10
2018-12,11
2019-01,8
2019-02,8
2019-03,8
2019-04,5
2019-05,11
2019-06,8
2019-07,5
2019-08,8
2019-09,12
2019-10,9
2019-11,8
2019-12,4
2020-01,16
2020-02,12
2020-03,13
2020-04,11
2020-05,10
2020-06,9
2020-07,6
2020-08,12
2020-09,7
2020-10,8
2020-11,18
2020-12,22
2021-01,51
2021-02,79
