Month,Year,Num_of_articles
04,2013,3.0
05,2013,1.0
06,2013,0.0
07,2013,0.0
08,2013,0.0
09,2013,2.0
10,2013,0.0
11,2013,2.0
12,2013,2.0
01,2014,2.0
02,2014,3.0
03,2014,8.0
04,2014,1.0
05,2014,3.0
06,2014,0.0
07,2014,4.0
08,2014,3.0
09,2014,7.0
10,2014,3.0
11,2014,1.0
12,2014,4.0
01,2015,1.0
02,2015,3.0
03,2015,1.0
04,2015,1.0
05,2015,5.0
06,2015,3.0
07,2015,3.0
08,2015,2.0
09,2015,0.0
10,2015,4.0
11,2015,0.0
12,2015,0.0
01,2016,5.0
02,2016,4.0
03,2016,0.0
04,2016,4.0
05,2016,3.0
06,2016,2.0
07,2016,2.0
08,2016,6.0
09,2016,2.0
10,2016,7.0
11,2016,3.0
12,2016,2.0
01,2017,7.0
02,2017,5.0
03,2017,4.0
04,2017,4.0
05,2017,16.0
06,2017,166.0
07,2017,426.0
08,2017,7.0
09,2017,11.0
10,2017,13.0
11,2017,13.0
12,2017,17.0
01,2018,23.0
02,2018,61.0
03,2018,48.0
04,2018,21.0
05,2018,38.0
06,2018,116.0
07,2018,148.0
08,2018,102.0
09,2018,136.0
10,2018,158.0
11,2018,77.0
12,2018,96.0
01,2019,75.0
02,2019,62.0
03,2019,65.0
04,2019,67.0
05,2019,29.0
06,2019,30.0
07,2019,21.0
08,2019,26.0
09,2019,36.0
10,2019,31.0
11,2019,15.0
12,2019,17.0
01,2020,13.0
02,2020,15.0
03,2020,23.0
04,2020,58.0
05,2020,122.0
06,2020,100.0
07,2020,72.0
08,2020,48.0
09,2020,116.0
10,2020,317.0
11,2020,61.0
12,2020,161.0
01,2021,239.0
02,2021,386.0
03,2021,
