Date,Datestamp,Australian Dollar (AUD),Euro (EUR),U.K. Pound (GBP),U.S. Dollar (USD)
29-Apr-2013,2013-04-29,1.0312,1.3113,1.5522,1.0
30-Apr-2013,2013-04-30,1.0368,1.3072,1.5485,1.0
1-May-2013,2013-05-01,1.0367,1.3072,1.5569,1.0
2-May-2013,2013-05-02,1.0231,1.3191,1.5574,1.0
3-May-2013,2013-05-03,1.0271,1.3114,1.5555,1.0
6-May-2013,2013-05-06,1.029,1.3107,1.5538,1.0
7-May-2013,2013-05-07,1.0193,1.3107,1.5534,1.0
8-May-2013,2013-05-08,1.0187,1.3135,1.5503,1.0
9-May-2013,2013-05-09,1.0237,1.3142,1.557,1.0
10-May-2013,2013-05-10,1.0071,1.2988,1.54,1.0
13-May-2013,2013-05-13,0.9996,1.2973,1.5372,1.0
14-May-2013,2013-05-14,0.9989,1.2977,1.5277,1.0
15-May-2013,2013-05-15,0.9892,1.2864,1.5204,1.0
16-May-2013,2013-05-16,0.9861,1.2890000000000001,1.5211,1.0
17-May-2013,2013-05-17,0.976,1.2869,1.5249,1.0
20-May-2013,2013-05-20,0.9771,1.2853,1.5198,1.0
21-May-2013,2013-05-21,0.9826,1.2866,1.5152,1.0
22-May-2013,2013-05-22,0.977,1.2923,1.5092,1.0
23-May-2013,2013-05-23,0.9614,1.2888,1.5087,1.0
24-May-2013,2013-05-24,0.9686,1.2939,1.5118,1.0
28-May-2013,2013-05-28,0.9649,1.2938,1.5108,1.0
29-May-2013,2013-05-29,0.9539,1.2952,1.5068,1.0
30-May-2013,2013-05-30,0.9674,1.2944,1.5154,1.0
31-May-2013,2013-05-31,0.9649,1.3006,1.5214,1.0
3-Jun-2013,2013-06-03,0.9635,1.3008,1.5253,1.0
4-Jun-2013,2013-06-04,0.9733,1.3092,1.5293,1.0
5-Jun-2013,2013-06-05,0.9617,1.3067,1.536,1.0
6-Jun-2013,2013-06-06,0.9443,1.3118,1.5449,1.0
7-Jun-2013,2013-06-07,0.9504,1.3259999999999998,1.5576,1.0
10-Jun-2013,2013-06-10,0.9504,1.3209,1.5541,1.0
11-Jun-2013,2013-06-11,0.9407,1.3273,1.554,1.0
12-Jun-2013,2013-06-12,0.9418,1.3277,1.5661,1.0
13-Jun-2013,2013-06-13,0.9463,1.3315,1.5671,1.0
14-Jun-2013,2013-06-14,0.9581,1.3303,1.5645,1.0
17-Jun-2013,2013-06-17,0.9625,1.3337,1.5708,1.0
18-Jun-2013,2013-06-18,0.9514,1.3374,1.5619,1.0
19-Jun-2013,2013-06-19,0.9485,1.3406,1.5639,1.0
20-Jun-2013,2013-06-20,0.924,1.32,1.5453,1.0
21-Jun-2013,2013-06-21,0.9233,1.318,1.548,1.0
24-Jun-2013,2013-06-24,0.9202,1.3086,1.5354,1.0
25-Jun-2013,2013-06-25,0.9252,1.3134,1.5448,1.0
26-Jun-2013,2013-06-26,0.9269,1.3024,1.5358,1.0
27-Jun-2013,2013-06-27,0.9318,1.3032,1.5284,1.0
28-Jun-2013,2013-06-28,0.9275,1.308,1.5231,1.0
1-Jul-2013,2013-07-01,0.9194,1.3037,1.5223,1.0
2-Jul-2013,2013-07-02,0.9172,1.3017,1.5194,1.0
3-Jul-2013,2013-07-03,0.9083,1.2959,1.5254,1.0
8-Jul-2013,2013-07-08,0.9051,1.285,1.4906,1.0
9-Jul-2013,2013-07-09,0.9137,1.2857,1.4856,1.0
10-Jul-2013,2013-07-10,0.9189,1.2813,1.4899,1.0
11-Jul-2013,2013-07-11,0.9295,1.3044,1.5112,1.0
12-Jul-2013,2013-07-12,0.917,1.3034,1.5109,1.0
15-Jul-2013,2013-07-15,0.9107,1.3012,1.5054,1.0
16-Jul-2013,2013-07-16,0.9194,1.3118,1.5104,1.0
17-Jul-2013,2013-07-17,0.9215,1.3136,1.5222,1.0
18-Jul-2013,2013-07-18,0.9179,1.3093,1.5219,1.0
19-Jul-2013,2013-07-19,0.9181,1.3123,1.5253,1.0
22-Jul-2013,2013-07-22,0.9223,1.3166,1.5333,1.0
23-Jul-2013,2013-07-23,0.9258,1.318,1.5348,1.0
24-Jul-2013,2013-07-24,0.9253,1.3246,1.5351,1.0
25-Jul-2013,2013-07-25,0.9164,1.3202,1.5282,1.0
26-Jul-2013,2013-07-26,0.9271,1.3259999999999998,1.5405,1.0
29-Jul-2013,2013-07-29,0.9257,1.327,1.5390000000000001,1.0
30-Jul-2013,2013-07-30,0.9072,1.3284,1.5313,1.0
31-Jul-2013,2013-07-31,0.9037,1.3275,1.5196,1.0
1-Aug-2013,2013-08-01,0.8969,1.3236,1.5165,1.0
2-Aug-2013,2013-08-02,0.8909,1.3203,1.5146,1.0
5-Aug-2013,2013-08-05,0.8909,1.3257,1.5348,1.0
6-Aug-2013,2013-08-06,0.8977,1.328,1.5358,1.0
7-Aug-2013,2013-08-07,0.8957,1.3305,1.5448,1.0
8-Aug-2013,2013-08-08,0.908,1.3359999999999999,1.5511,1.0
9-Aug-2013,2013-08-09,0.9118,1.3373,1.5532,1.0
12-Aug-2013,2013-08-12,0.9203,1.328,1.548,1.0
13-Aug-2013,2013-08-13,0.9127,1.329,1.5453,1.0
14-Aug-2013,2013-08-14,0.9099,1.3243,1.5483,1.0
15-Aug-2013,2013-08-15,0.9166,1.3297,1.5578,1.0
16-Aug-2013,2013-08-16,0.9147,1.334,1.5642,1.0
19-Aug-2013,2013-08-19,0.9216,1.3344,1.565,1.0
20-Aug-2013,2013-08-20,0.906,1.3392,1.5661,1.0
21-Aug-2013,2013-08-21,0.9037,1.3384,1.5665,1.0
22-Aug-2013,2013-08-22,0.8991,1.3323,1.5574,1.0
23-Aug-2013,2013-08-23,0.9009,1.3355,1.5603,1.0
26-Aug-2013,2013-08-26,0.904,1.3361,1.5603,1.0
27-Aug-2013,2013-08-27,0.8959,1.3338,1.5516,1.0
28-Aug-2013,2013-08-28,0.8924,1.3347,1.5463,1.0
29-Aug-2013,2013-08-29,0.8973,1.3266,1.5507,1.0
30-Aug-2013,2013-08-30,0.8947,1.3235,1.5501,1.0
3-Sep-2013,2013-09-03,0.9033,1.3172,1.5575,1.0
4-Sep-2013,2013-09-04,0.9097,1.3171,1.5612,1.0
5-Sep-2013,2013-09-05,0.9161,1.3202,1.5615,1.0
6-Sep-2013,2013-09-06,0.9131,1.3117,1.5565,1.0
9-Sep-2013,2013-09-09,0.9191,1.3194,1.5673,1.0
10-Sep-2013,2013-09-10,0.9275,1.324,1.5702,1.0
11-Sep-2013,2013-09-11,0.9289,1.3268,1.5771,1.0
12-Sep-2013,2013-09-12,0.9249,1.329,1.5811,1.0
13-Sep-2013,2013-09-13,0.9235,1.3295,1.5812,1.0
16-Sep-2013,2013-09-16,0.9324,1.3357,1.5924,1.0
17-Sep-2013,2013-09-17,0.9313,1.3356,1.5903,1.0
18-Sep-2013,2013-09-18,0.935,1.3352,1.5966,1.0
19-Sep-2013,2013-09-19,0.9496,1.3545,1.6081,1.0
20-Sep-2013,2013-09-20,0.9454,1.3514,1.6024,1.0
23-Sep-2013,2013-09-23,0.9432,1.3508,1.6052,1.0
24-Sep-2013,2013-09-24,0.9411,1.3473,1.5982,1.0
25-Sep-2013,2013-09-25,0.9381,1.3504,1.604,1.0
26-Sep-2013,2013-09-26,0.9376,1.3499,1.6057,1.0
27-Sep-2013,2013-09-27,0.9359,1.3537,1.6088,1.0
30-Sep-2013,2013-09-30,0.9309,1.3505,1.6153,1.0
1-Oct-2013,2013-10-01,0.9396,1.3554,1.6230000000000002,1.0
2-Oct-2013,2013-10-02,0.9369,1.3515,1.6202,1.0
3-Oct-2013,2013-10-03,0.9391,1.3594,1.6215,1.0
4-Oct-2013,2013-10-04,0.9443,1.3593,1.6048,1.0
7-Oct-2013,2013-10-07,0.9443,1.3572,1.607,1.0
8-Oct-2013,2013-10-08,0.9434,1.3576,1.6082,1.0
9-Oct-2013,2013-10-09,0.9434,1.3515,1.5972,1.0
10-Oct-2013,2013-10-10,0.9397,1.3532,1.5938,1.0
11-Oct-2013,2013-10-11,0.947,1.3566,1.5977,1.0
15-Oct-2013,2013-10-15,0.9533,1.3493,1.5923,1.0
16-Oct-2013,2013-10-16,0.9525,1.3561,1.6032,1.0
17-Oct-2013,2013-10-17,0.9542,1.3662,1.6059999999999999,1.0
18-Oct-2013,2013-10-18,0.9617,1.3684,1.6212,1.0
21-Oct-2013,2013-10-21,0.9672,1.3667,1.6167,1.0
22-Oct-2013,2013-10-22,0.9649,1.3674,1.6133,1.0
23-Oct-2013,2013-10-23,0.9655,1.3752,1.6130000000000002,1.0
24-Oct-2013,2013-10-24,0.9651,1.3805,1.6182,1.0
25-Oct-2013,2013-10-25,0.9615,1.3777,1.6199,1.0
28-Oct-2013,2013-10-28,0.9609,1.3784,1.6188,1.0
29-Oct-2013,2013-10-29,0.9515,1.3768,1.6069,1.0
30-Oct-2013,2013-10-30,0.9482,1.3755,1.6064,1.0
31-Oct-2013,2013-10-31,0.949,1.3641,1.6037,1.0
1-Nov-2013,2013-11-01,0.9481,1.3505,1.5955,1.0
4-Nov-2013,2013-11-04,0.9481,1.3506,1.5972,1.0
5-Nov-2013,2013-11-05,0.9467,1.3494,1.6048,1.0
