Category: All categories

Month,iota: (Worldwide)
2013-04,3
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,3
2013-11,2
2013-12,2
2014-01,2
2014-02,3
2014-03,3
2014-04,3
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,3
2015-11,2
2015-12,2
2016-01,2
2016-02,3
2016-03,2
2016-04,3
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,3
2017-05,2
2017-06,5
2017-07,4
2017-08,9
2017-09,8
2017-10,6
2017-11,15
2017-12,100
2018-01,30
2018-02,14
2018-03,9
2018-04,9
2018-05,8
2018-06,7
2018-07,5
2018-08,6
2018-09,5
2018-10,5
2018-11,5
2018-12,4
2019-01,4
2019-02,4
2019-03,4
2019-04,4
2019-05,6
2019-06,5
2019-07,4
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,4
2020-01,5
2020-02,6
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,4
2020-08,5
2020-09,4
2020-10,3
2020-11,28
2020-12,4
2021-01,6
2021-02,12
