Coin,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,"Feb 28, 2021",46194.02,46716.43,43241.62,45137.77,53443887451,"$841,428,977,515"
bitcoin,"Feb 27, 2021",46344.77,48253.27,45269.03,46188.45,45910946382,"$860,978,135,421"
bitcoin,"Feb 26, 2021",47180.46,48370.79,44454.84,46339.76,3.50968E+11,"$863,752,275,053"
bitcoin,"Feb 25, 2021",49709.08,51948.97,47093.85,47093.85,54506565949,"$877,766,126,138"
bitcoin,"Feb 24, 2021",48835.09,51290.14,47213.5,49705.33,63695521388,"$926,393,090,751"
bitcoin,"Feb 23, 2021",54204.93,54204.93,45290.59,48824.43,1.06102E+11,"$909,925,854,460"
bitcoin,"Feb 22, 2021",57532.74,57533.39,48967.57,54207.32,92052420332,"$1,010,205,212,981"
bitcoin,"Feb 21, 2021",56068.57,58330.57,55672.61,57539.94,51897585191,"$1,072,263,294,725"
bitcoin,"Feb 20, 2021",55887.34,57505.23,54626.56,56099.52,68145460026,"$1,045,371,087,640"
bitcoin,"Feb 19, 2021",51675.98,56113.65,50937.28,55888.13,63495496918,"$1,041,380,696,669"
bitcoin,"Feb 18, 2021",52140.97,52474.11,51015.76,51679.8,52054723579,"$962,915,078,024"
bitcoin,"Feb 17, 2021",49207.28,52533.91,49072.38,52149.01,80820545404,"$971,611,626,454"
bitcoin,"Feb 16, 2021",47944.46,50341.1,47201.3,49199.87,77049582886,"$916,623,418,254"
bitcoin,"Feb 15, 2021",48696.54,48875.57,46347.48,47945.06,77069903166,"$893,210,080,039"
bitcoin,"Feb 14, 2021",47114.51,49487.64,47114.51,48717.29,71248675228,"$907,551,330,153"
bitcoin,"Feb 13, 2021",47491.2,48047.74,46392.28,47105.52,70250456155,"$877,478,894,464"
bitcoin,"Feb 12, 2021",47877.03,48745.73,46424.98,47504.85,76555041196,"$884,874,050,612"
bitcoin,"Feb 11, 2021",44898.71,48463.47,44187.76,47909.33,81388911810,"$892,364,856,136"
bitcoin,"Feb 10, 2021",46469.76,47145.57,43881.15,44918.18,87301089896,"$836,616,907,527"
bitcoin,"Feb 09, 2021",46184.99,48003.72,45166.96,46481.1,91809846886,"$865,682,956,619"
bitcoin,"Feb 08, 2021",38886.83,46203.93,38076.32,46196.46,1.01467E+11,"$860,342,706,260"
bitcoin,"Feb 07, 2021",39250.19,39621.84,37446.15,38903.44,65500641143,"$724,478,833,211"
bitcoin,"Feb 06, 2021",38138.39,40846.55,38138.39,39266.01,71326033653,"$731,192,490,093"
bitcoin,"Feb 05, 2021",36931.55,38225.91,36658.76,38144.31,58598066402,"$710,266,752,534"
bitcoin,"Feb 04, 2021",37475.1,38592.18,36317.5,36926.06,68838074392,"$687,542,752,523"
bitcoin,"Feb 03, 2021",35510.82,37480.19,35443.98,37472.09,61166818159,"$697,672,910,488"
bitcoin,"Feb 02, 2021",33533.2,35896.88,33489.22,35510.29,63088585433,"$661,114,581,664"
bitcoin,"Feb 01, 2021",33114.58,34638.21,32384.23,33537.18,61400400660,"$624,349,044,409"
bitcoin,"Jan 31, 2021",34270.88,34288.33,32270.18,33114.36,52754542671,"$616,452,744,533"
bitcoin,"Jan 30, 2021",34295.94,34834.71,32940.19,34269.52,65141828798,"$637,924,573,284"
bitcoin,"Jan 29, 2021",34318.67,38406.26,32064.81,34316.39,1.17895E+11,"$638,768,671,362"
bitcoin,"Jan 28, 2021",30441.04,33858.31,30023.21,33466.1,76517157706,"$622,910,073,820"
bitcoin,"Jan 27, 2021",32564.03,32564.03,29367.14,30432.55,62576762015,"$566,417,413,554"
bitcoin,"Jan 26, 2021",32358.61,32794.55,31030.27,32569.85,60255421470,"$606,169,260,387"
bitcoin,"Jan 25, 2021",32285.8,34802.74,32087.79,32366.39,59897054838,"$602,350,097,075"
bitcoin,"Jan 24, 2021",32064.38,32944.01,31106.69,32289.38,48643830599,"$600,888,568,010"
bitcoin,"Jan 23, 2021",32985.76,33360.98,31493.16,32067.64,48354737975,"$596,733,137,645"
bitcoin,"Jan 22, 2021",30817.63,33811.85,28953.37,33005.76,77207272511,"$614,160,521,492"
bitcoin,"Jan 21, 2021",35549.4,35552.68,30250.75,30825.7,75643067688,"$573,565,664,943"
bitcoin,"Jan 20, 2021",36050.11,36378.33,33570.48,35547.75,66834573161,"$661,400,102,161"
bitcoin,"Jan 19, 2021",36642.23,37755.89,36069.81,36069.81,57244195486,"$671,081,200,700"
bitcoin,"Jan 18, 2021",35792.24,37299.29,34883.84,36630.08,49511702429,"$681,470,030,572"
bitcoin,"Jan 17, 2021",36163.65,36722.35,34069.32,35791.28,52359854336,"$665,831,621,391"
bitcoin,"Jan 16, 2021",36821.65,37864.37,35633.55,36178.14,57706187875,"$673,000,645,231"
bitcoin,"Jan 15, 2021",39156.71,39577.71,34659.59,36825.37,67760757881,"$685,005,864,471"
bitcoin,"Jan 14, 2021",37325.11,39966.41,36868.56,39187.33,63615990033,"$728,904,366,964"
bitcoin,"Jan 13, 2021",33915.12,37599.96,32584.67,37316.36,69364315979,"$694,069,582,194"
bitcoin,"Jan 12, 2021",35516.36,36568.53,32697.98,33922.96,74773277909,"$630,920,422,745"
bitcoin,"Jan 11, 2021",38346.53,38346.53,30549.6,35566.66,1.23321E+11,"$661,457,321,418"
bitcoin,"Jan 10, 2021",40254.22,41420.19,35984.63,38356.44,79980747690,"$713,304,617,761"
bitcoin,"Jan 09, 2021",40788.64,41436.35,38980.88,40254.55,61984162837,"$748,563,483,043"
bitcoin,"Jan 08, 2021",39381.77,41946.74,36838.64,40797.61,88107519480,"$758,625,941,267"
bitcoin,"Jan 07, 2021",36833.87,40180.37,36491.19,39371.04,84762141031,"$732,062,681,138"
bitcoin,"Jan 06, 2021",34013.61,36879.7,33514.03,36824.36,75289433811,"$684,671,246,324"
bitcoin,"Jan 05, 2021",31977.04,34437.59,30221.19,33992.43,67547324782,"$631,980,005,970"
bitcoin,"Jan 04, 2021",32810.95,33440.22,28722.76,31971.91,81163475344,"$594,384,025,391"
bitcoin,"Jan 03, 2021",32129.41,34608.56,32052.32,32782.02,78665235202,"$609,409,213,147"
bitcoin,"Jan 02, 2021",29376.46,33155.12,29091.18,32127.27,67865420765,"$597,205,944,669"
bitcoin,"Jan 01, 2021",28994.01,29600.63,28803.59,29374.15,40730301359,"$546,001,594,838"
bitcoin,"Dec 31, 2020",28841.57,29244.88,28201.99,29001.72,46754964848,"$539,051,138,108"
bitcoin,"Dec 30, 2020",27360.09,28937.74,27360.09,28840.95,51287442704,"$536,033,807,161"
bitcoin,"Dec 29, 2020",27081.81,27370.72,25987.3,27362.44,45265946774,"$508,523,687,097"
bitcoin,"Dec 28, 2020",26280.82,27389.11,26207.64,27084.81,49056742893,"$503,339,329,917"
bitcoin,"Dec 27, 2020",26439.37,28288.84,25922.77,26272.29,66479895605,"$488,213,268,382"
bitcoin,"Dec 26, 2020",24677.02,26718.07,24522.69,26437.04,48332647295,"$491,250,863,157"
bitcoin,"Dec 25, 2020",23733.57,24710.1,23463.67,24664.79,42068395846,"$458,297,232,692"
bitcoin,"Dec 24, 2020",23240.2,23768.34,22777.6,23735.95,41080759713,"$441,017,197,764"
bitcoin,"Dec 23, 2020",23781.97,24024.49,22802.65,23241.34,51146161904,"$431,808,778,580"
bitcoin,"Dec 22, 2020",22794.04,23789.9,22430.6,23783.03,44171632681,"$441,850,902,134"
bitcoin,"Dec 21, 2020",23474.46,24059.98,22159.37,22803.08,45852713981,"$423,625,088,584"
bitcoin,"Dec 20, 2020",23861.77,24209.66,23147.71,23477.3,37844228422,"$436,129,331,482"
bitcoin,"Dec 19, 2020",23132.87,24085.86,22826.47,23869.83,38487546580,"$443,399,267,277"
bitcoin,"Dec 18, 2020",22806.8,23238.6,22399.81,23137.96,40387896275,"$429,781,092,528"
bitcoin,"Dec 17, 2020",21308.35,23642.66,21234.68,22805.16,71378606374,"$423,576,934,966"
