Category: All categories

Month,monero: (Worldwide)
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,2
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,2
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,1
2015-01,2
2015-02,1
2015-03,2
2015-04,1
2015-05,2
2015-06,1
2015-07,2
2015-08,1
2015-09,2
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,2
2016-04,1
2016-05,2
2016-06,3
2016-07,2
2016-08,5
2016-09,9
2016-10,5
2016-11,5
2016-12,5
2017-01,9
2017-02,6
2017-03,9
2017-04,7
2017-05,15
2017-06,19
2017-07,15
2017-08,28
2017-09,29
2017-10,23
2017-11,42
2017-12,100
2018-01,72
2018-02,37
2018-03,27
2018-04,28
2018-05,18
2018-06,12
2018-07,11
2018-08,11
2018-09,13
2018-10,11
2018-11,9
2018-12,8
2019-01,9
2019-02,7
2019-03,7
2019-04,7
2019-05,8
2019-06,9
2019-07,7
2019-08,7
2019-09,6
2019-10,6
2019-11,8
2019-12,7
2020-01,7
2020-02,8
2020-03,7
2020-04,8
2020-05,8
2020-06,7
2020-07,8
2020-08,8
2020-09,7
2020-10,9
2020-11,8
2020-12,12
2021-01,19
2021-02,22
