Category: All categories

Month,stratis crypto: (Worldwide)
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,5
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,4
2017-04,9
2017-05,32
2017-06,83
2017-07,67
2017-08,60
2017-09,23
2017-10,27
2017-11,40
2017-12,100
2018-01,94
2018-02,33
2018-03,17
2018-04,9
2018-05,25
2018-06,9
2018-07,0
2018-08,8
2018-09,9
2018-10,0
2018-11,8
2018-12,0
2019-01,4
2019-02,0
2019-03,12
2019-04,0
2019-05,4
2019-06,13
2019-07,0
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,8
2020-01,4
2020-02,0
2020-03,3
2020-04,3
2020-05,0
2020-06,7
2020-07,0
2020-08,0
2020-09,4
2020-10,0
2020-11,4
2020-12,19
2021-01,4
2021-02,24
