"Representative rates for the period  April 28, 2013 - March 23, 2021",,,,,,,
,,,,,,,
Date,Australian dollar   (AUD)                     ,Chinese yuan   (CNY)                     ,Euro   (EUR)                     ,Japanese yen   (JPY)                     ,Swiss franc   (CHF)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     
29-Apr-2013,1.0312,,1.3113,,0.9393,1.5522,1
30-Apr-2013,1.0368,,1.3072,97.91,0.9363,1.5485,1
1-May-2013,1.0367,,,97.25,,1.5569,1
2-May-2013,1.0231,6.2082,1.3191,97.22,0.9288,1.5574,1
3-May-2013,1.0271,6.2152,1.3114,,0.9322,1.5555,1
6-May-2013,1.029,6.2114,1.3107,,0.9372,1.5538,1
7-May-2013,1.0193,6.2083,1.3107,98.97,0.9397,1.5534,1
8-May-2013,1.0187,6.198,1.3135,98.9,0.94,1.5503,1
9-May-2013,1.0237,6.1925,1.3142,98.88,,1.557,1
10-May-2013,1.0071,6.2016,1.2988,100.94,0.9557,1.54,1
13-May-2013,0.9996,6.2072,1.2973,101.88,0.9555,1.5372,1
14-May-2013,0.9989,6.2035,1.2977,101.44,0.9577,1.5277,1
15-May-2013,0.9892,6.207,1.2864,102.21,0.973,1.5204,1
16-May-2013,0.9861,6.2096,1.289,102.15,0.967,1.5211,1
17-May-2013,0.976,6.1997,1.2869,102.3,0.9655,1.5249,1
20-May-2013,0.9771,6.1998,1.2853,102.84,,1.5198,1
21-May-2013,0.9826,6.1911,1.2866,102.5,0.9693,1.5152,1
22-May-2013,0.977,6.1904,1.2923,102.6,0.974,1.5092,1
23-May-2013,0.9614,6.1947,1.2888,103.1,0.9662,1.5087,1
24-May-2013,0.9686,6.1867,1.2939,102.3,0.9622,1.5118,1
28-May-2013,0.9649,6.1818,1.2938,101.63,0.9682,1.5108,1
29-May-2013,0.9539,6.1856,1.2952,102.3,0.9658,1.5068,1
30-May-2013,0.9674,6.182,1.2944,101.2,0.9595,1.5154,1
31-May-2013,0.9649,6.1796,1.3006,101.03,0.9534,1.5214,1
3-Jun-2013,0.9635,6.1806,1.3008,100.45,0.9565,1.5253,1
4-Jun-2013,0.9733,6.1735,1.3092,99.74,0.946,1.5293,1
5-Jun-2013,0.9617,6.1757,1.3067,100.29,0.9472,1.536,1
6-Jun-2013,0.9443,6.1737,1.3118,99.3,0.9417,1.5449,1
7-Jun-2013,0.9504,6.162,1.326,96.5,0.9265,1.5576,1
10-Jun-2013,,,1.3209,98.25,0.9371,1.5541,1
11-Jun-2013,0.9407,,1.3273,98.15,0.9279,1.554,1
12-Jun-2013,0.9418,,1.3277,96.4,0.9279,1.5661,1
13-Jun-2013,0.9463,6.1612,1.3315,94.75,0.9212,1.5671,1
14-Jun-2013,0.9581,6.1607,1.3303,94.65,0.9247,1.5645,1
17-Jun-2013,0.9625,6.1598,1.3337,94.65,0.9232,1.5708,1
18-Jun-2013,0.9514,6.1651,1.3374,94.81,0.9193,1.5619,1
19-Jun-2013,0.9485,6.1677,1.3406,95.5,0.9213,1.5639,1
20-Jun-2013,0.924,6.1698,1.32,97.03,0.9336,1.5453,1
21-Jun-2013,0.9233,6.1766,1.318,97.2,0.9278,1.548,1
24-Jun-2013,0.9202,6.1807,1.3086,98.4,0.9348,1.5354,1
25-Jun-2013,0.9252,6.1767,1.3134,97.75,0.9344,1.5448,1
26-Jun-2013,0.9269,6.1779,1.3024,98.14,0.9412,1.5358,1
27-Jun-2013,0.9318,6.1797,1.3032,97.75,0.9457,1.5284,1
